,bytes,time
0,50,2.732
1,550,2.859
2,1050,2.746
3,1550,3.009
4,2050,3.293
5,2550,3.54
6,3050,3.476
7,3550,3.576
8,4050,4.43
9,4550,5.183
10,5050,5.418
11,5550,4.281
12,6050,4.821
13,6550,5.1
14,7050,5.033
15,7550,5.361
16,8050,7.124
17,8550,5.642
18,9050,49.417
19,9550,5.397
20,10050,7.229
21,10550,6.288
22,11050,5.656
23,11550,5.836
24,12050,7.544
25,12550,7.369
26,13050,7.469
27,13550,7.85
28,14050,7.099
29,14550,7.978
30,15050,7.536
31,15550,28.419
32,16050,9.28
33,16550,7.114
34,17050,7.362
35,17550,8.576
36,18050,9.628
37,18550,7.7
38,19050,9.64
39,19550,9.757
40,20050,9.469
41,20550,23.02
42,21050,8.398
43,21550,11.299
44,22050,8.638
45,22550,11.364
46,23050,10.003
47,23550,10.999
48,24050,12.48
49,24550,10.524
50,25050,11.32
51,25550,11.313
52,26050,11.247
53,26550,12.61
54,27050,23.883
55,27550,13.06
56,28050,11.147
57,28550,12.695
58,29050,17.617
59,29550,13.336
60,30050,13.486
61,30550,24.438
62,31050,14.168
63,31550,14.365
64,32050,15.32
65,32550,14.464
66,33050,14.446
67,33550,14.524
68,34050,17.024
69,34550,17.969
70,35050,16.431
71,35550,15.325
72,36050,16.122
73,36550,16.483
74,37050,16.18
75,37550,16.381
76,38050,17.032
77,38550,17.732
78,39050,17.026
79,39550,16.385
80,40050,18.547
81,40550,18.409
82,41050,16.969
83,41550,17.042
84,42050,18.732
85,42550,18.425
86,43050,18.793
87,43550,20.109
88,44050,18.878
89,44550,18.644
90,45050,23.485
91,45550,19.055
92,46050,19.107
93,46550,19.0
94,47050,19.722
95,47550,22.242
96,48050,20.019
97,48550,20.906
98,49050,21.519
99,49550,20.74
100,50050,20.047
101,50550,22.161
102,51050,20.717
103,51550,22.243
104,52050,22.617
105,52550,22.072
106,53050,21.795
107,53550,21.219
108,54050,21.917
109,54550,22.168
110,55050,25.092
111,55550,22.65
112,56050,23.799
113,56550,25.868
114,57050,26.159
115,57550,23.755
116,58050,25.816
117,58550,25.315
118,59050,28.478
119,59550,25.664
120,60050,24.965
121,60550,31.619
122,61050,29.458
123,61550,25.336
124,62050,30.618
125,62550,32.732
126,63050,26.968
127,63550,26.181
128,64050,27.793
129,64550,26.427
130,65050,33.666
131,65550,28.875
132,66050,29.588
133,66550,26.689
134,67050,28.823
135,67550,34.283
136,68050,29.205
137,68550,32.321
138,69050,31.931
139,69550,29.806
140,70050,28.264
141,70550,29.199
142,71050,28.837
143,71550,28.713
144,72050,29.399
145,72550,27.415
146,73050,28.213
147,73550,33.858
148,74050,28.58
149,74550,28.331
150,75050,30.979
151,75550,28.641
152,76050,34.134
153,76550,28.636
154,77050,29.008
155,77550,29.349
156,78050,29.267
157,78550,30.27
158,79050,32.08
159,79550,30.632
160,80050,29.769
161,80550,34.198
162,81050,33.997
163,81550,30.93
164,82050,32.479
165,82550,31.585
166,83050,46.196
167,83550,32.95
168,84050,30.273
169,84550,32.451
170,85050,36.255
171,85550,32.638
172,86050,201.307
173,86550,39.767
174,87050,32.701
175,87550,32.795
176,88050,34.631
177,88550,33.425
178,89050,31.798
179,89550,35.261
180,90050,36.894
181,90550,39.887
182,91050,49.549
183,91550,43.104
184,92050,86.859
185,92550,38.174
186,93050,37.984
187,93550,87.631
188,94050,47.284
189,94550,65.374
190,95050,42.515
191,95550,38.607
192,96050,41.449
193,96550,37.837
194,97050,46.376
195,97550,44.155
196,98050,37.331
197,98550,41.213
198,99050,40.225
199,99550,41.068
